====================================================================================================================================================================================
COM VARIANTS COMPATIBILITY AND RELIABILITY MATRIX
====================================================================================================================================================================================

[SUMMARY STATISTICS]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Total Tests: 432
Successful: 356 (82.4%)
Failed: 76 (17.6%)
Overall Reliability Score: 0.79/1.00

[COMPATIBILITY BY INSTANTIATION METHOD]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Method                         Reliability Score    Rating              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GetObject(Running)             0.8932 High (75-99%)       
CreateObject(ProgID)           0.8509 High (75-99%)       
WMI Class                      0.8335 High (75-99%)       
CreateObject(CLSID)            0.8310 High (75-99%)       
New Keyword                    0.8155 High (75-99%)       
GetObject(Moniker)             0.7674 High (75-99%)       
Registry Lookup                0.6933 Partial (50-74%)    
Remote DCOM                    0.6536 Partial (50-74%)    

[COMPATIBILITY BY WINDOWS VERSION]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Windows Version                Reliability Score    Rating              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6.1                            0.8552 High (75-99%)       
10.0                           0.8230 High (75-99%)       
6.0                            0.8158 High (75-99%)       
6.2                            0.7919 High (75-99%)       
10.0.22000                     0.7561 High (75-99%)       
5.1                            0.7119 Partial (50-74%)    

[COMPATIBILITY BY COM OBJECT]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COM Object                     Reliability Score    Rating              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
WScript.Shell                  0.8519 High (75-99%)       
WScript.Network                0.8519 High (75-99%)       
WbemScripting.SWbemLocator     0.8519 High (75-99%)       
MSXML2.DOMDocument             0.8519 High (75-99%)       
Excel.Application              0.7667 High (75-99%)       
Word.Application               0.7667 High (75-99%)       
ADODB.Connection               0.7667 High (75-99%)       
Shell.Application              0.7491 Partial (50-74%)    
PowerPoint.Application         0.6742 Partial (50-74%)    

[DETAILED COMPATIBILITY MATRIX]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Method                    COM Object                     Version         Success    Reliability    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CreateObject(ProgID)      Excel.Application              5.1             YES        0.8550
CreateObject(ProgID)      Excel.Application              6.0             YES        0.8280
CreateObject(ProgID)      Excel.Application              6.1             YES        0.8550
CreateObject(ProgID)      Excel.Application              6.2             YES        0.8100
CreateObject(ProgID)      Excel.Application              10.0            YES        0.8280
CreateObject(ProgID)      Excel.Application              10.0.22000      YES        0.7650
CreateObject(ProgID)      Word.Application               5.1             YES        0.8550
CreateObject(ProgID)      Word.Application               6.0             YES        0.8280
CreateObject(ProgID)      Word.Application               6.1             YES        0.8550
CreateObject(ProgID)      Word.Application               6.2             YES        0.8100
CreateObject(ProgID)      Word.Application               10.0            YES        0.8280
CreateObject(ProgID)      Word.Application               10.0.22000      YES        0.7650
CreateObject(ProgID)      PowerPoint.Application         5.1             NO         0.2565
CreateObject(ProgID)      PowerPoint.Application         6.0             YES        0.8280
CreateObject(ProgID)      PowerPoint.Application         6.1             YES        0.8550
CreateObject(ProgID)      PowerPoint.Application         6.2             YES        0.8100
CreateObject(ProgID)      PowerPoint.Application         10.0            YES        0.8280
CreateObject(ProgID)      PowerPoint.Application         10.0.22000      YES        0.7650
CreateObject(ProgID)      WScript.Shell                  5.1             YES        0.9500
CreateObject(ProgID)      WScript.Shell                  6.0             YES        0.9200
CreateObject(ProgID)      WScript.Shell                  6.1             YES        0.9500
CreateObject(ProgID)      WScript.Shell                  6.2             YES        0.9000
CreateObject(ProgID)      WScript.Shell                  10.0            YES        0.9200
CreateObject(ProgID)      WScript.Shell                  10.0.22000      YES        0.8500
CreateObject(ProgID)      Shell.Application              5.1             NO         0.2850
CreateObject(ProgID)      Shell.Application              6.0             YES        0.9200
CreateObject(ProgID)      Shell.Application              6.1             YES        0.9500
CreateObject(ProgID)      Shell.Application              6.2             YES        0.9000
CreateObject(ProgID)      Shell.Application              10.0            YES        0.9200
CreateObject(ProgID)      Shell.Application              10.0.22000      YES        0.8500
CreateObject(ProgID)      WScript.Network                5.1             YES        0.9500
CreateObject(ProgID)      WScript.Network                6.0             YES        0.9200
CreateObject(ProgID)      WScript.Network                6.1             YES        0.9500
CreateObject(ProgID)      WScript.Network                6.2             YES        0.9000
CreateObject(ProgID)      WScript.Network                10.0            YES        0.9200
CreateObject(ProgID)      WScript.Network                10.0.22000      YES        0.8500
CreateObject(ProgID)      WbemScripting.SWbemLocator     5.1             YES        0.9500
CreateObject(ProgID)      WbemScripting.SWbemLocator     6.0             YES        0.9200
CreateObject(ProgID)      WbemScripting.SWbemLocator     6.1             YES        0.9500
CreateObject(ProgID)      WbemScripting.SWbemLocator     6.2             YES        0.9000
CreateObject(ProgID)      WbemScripting.SWbemLocator     10.0            YES        0.9200
CreateObject(ProgID)      WbemScripting.SWbemLocator     10.0.22000      YES        0.8500
CreateObject(ProgID)      ADODB.Connection               5.1             YES        0.8550
CreateObject(ProgID)      ADODB.Connection               6.0             YES        0.8280
CreateObject(ProgID)      ADODB.Connection               6.1             YES        0.8550
CreateObject(ProgID)      ADODB.Connection               6.2             YES        0.8100
CreateObject(ProgID)      ADODB.Connection               10.0            YES        0.8280
CreateObject(ProgID)      ADODB.Connection               10.0.22000      YES        0.7650
CreateObject(ProgID)      MSXML2.DOMDocument             5.1             YES        0.9500
CreateObject(ProgID)      MSXML2.DOMDocument             6.0             YES        0.9200
CreateObject(ProgID)      MSXML2.DOMDocument             6.1             YES        0.9500
CreateObject(ProgID)      MSXML2.DOMDocument             6.2             YES        0.9000
CreateObject(ProgID)      MSXML2.DOMDocument             10.0            YES        0.9200
CreateObject(ProgID)      MSXML2.DOMDocument             10.0.22000      YES        0.8500
CreateObject(CLSID)       Excel.Application              5.1             YES        0.8280
CreateObject(CLSID)       Excel.Application              6.0             YES        0.8100
CreateObject(CLSID)       Excel.Application              6.1             YES        0.8370
CreateObject(CLSID)       Excel.Application              6.2             YES        0.7920
CreateObject(CLSID)       Excel.Application              10.0            YES        0.8100
CreateObject(CLSID)       Excel.Application              10.0.22000      YES        0.7470
CreateObject(CLSID)       Word.Application               5.1             YES        0.8280
CreateObject(CLSID)       Word.Application               6.0             YES        0.8100
CreateObject(CLSID)       Word.Application               6.1             YES        0.8370
